,id,university,major,degree,season,decision,decision_method,decision_date,decision_timestamp,gpa,gre_verbal,gre_quant,gre_writing,new_gre,gre_subject,status,post_data,post_timestamp,comments,uni_faculty,uni_pub
31,31,"University Of Illinois, Urbana-Champaign (UIUC)",ECE,PhD,S16,Accepted,E-mail,11-Mar-15,1446526800,3,149,164,2.5,True,,International,3/11/15,1446526800,"I contacted a professor and showed my interest in working with him. I think he helped me in the admission. It's worth noting that I have a full scholarship from my country, so I didn't ask for financial aid.",83,9.9
32,32,Cornell University,CS,MS,S16,Rejected,E-mail,11-Mar-15,1446526800,,,,,,,International,3/11/15,1446526800,M.Eng.,68,8.7
33,33,Columbia University,CS,MS,S16,Accepted,E-mail,11-Feb-15,1446440400,,,,,,,International,2/11/15,1446440400,,47,5.8
34,34,Auburn University,CS,MS,S16,Accepted,Website,29-10-2015,1446091200,,,,,,,,1/11/15,1446350400,accepted via website for the distance learning programming,2,1
35,35,University Of Southern California (USC),CS,MS,S16,Accepted,E-mail,11-Jan-15,1446350400,,,,,,,International,1/11/15,1446350400,General CS,50,5.7
38,38,Purdue University,CS,MS,S16,Rejected,E-mail,30-10-2015,1446177600,,,,,,,International,30-10-2015,1446177600,I dont think anybody got admission till now.,53,4.8
40,40,Purdue University,CS,PhD,S16,Rejected,Website,29-10-2015,1446091200,,,,,,,International,29-10-2015,1446091200,Anyone got it?,53,4.8
42,42,Iowa State University (ISU),CS,MS,S16,Accepted,E-mail,28-10-2015,1446004800,,,,,,,International,29-10-2015,1446091200,,15,1.5
43,43,"University Of Florida, Gainesville (UFL)",CS,MS,S16,Accepted,E-mail,27-10-2015,1445918400,,,,,,,International,29-10-2015,1446091200,,23,1.9
44,44,"University Of Florida, Gainesville (UFL)",CS,MS,S16,Accepted,E-mail,23-10-2015,1445572800,,147,167,,True,,International,29-10-2015,1446091200,Admit with AA,23,1.9
46,46,Cornell University,CS,MEng,S16,Accepted,E-mail,28-10-2015,1446004800,,,,,,,International,28-10-2015,1446004800,,68,8.7
47,47,"University Of Florida, Gainesville (UFL)",CS,MS,S16,Rejected,E-mail,27-10-2015,1445918400,3.5,144,167,3,True,,International,28-10-2015,1446004800,expected..non CS background :/,23,1.9
48,48,Rutgers University,CS,MS,S16,Accepted,E-mail,28-10-2015,1446004800,3.7,155,165,4.5,True,,International,28-10-2015,1446004800,"Without funding! 2 years R&D Lab Job, 3 R&D Papers, 2 White Papers, Open Source Contribution, Ongoing Independent Research",43,3.6
49,49,Iowa State University (ISU),CS,MS,S16,Accepted,E-mail,27-10-2015,1445918400,3.5,144,167,3,True,,International,27-10-2015,1445918400,,15,1.5
53,53,Virginia Tech,CS,MS,S16,Rejected,Other,23-10-2015,1445572800,,156,163,4,True,,International,23-10-2015,1445572800,No rejection mail or notification. Checked the website to find my application term updated to Fall 2016. Reply received after 10 days of mail stating I was rejected hence moved to Fall to give second chance.,39,2.4
54,54,University Of Southern California (USC),CS,MS,S16,Accepted,E-mail,22-10-2015,1445486400,3.5,144,167,3,True,,International,23-10-2015,1445572800,Non cs back ground..2.5+ yrs work ex from IBM..but too costly :/,50,5.7
55,55,Rutgers University,CS,MS,S16,Accepted,E-mail,23-10-2015,1445572800,,155,170,4,True,,International,23-10-2015,1445572800,Notified via email - recommended for admission | NIT Goa | 2 ieee publications,43,3.6
56,56,"Washington University, St. Louis (WUSTL)",CS,MS,S16,Accepted,E-mail,13-10-2015,1444708800,,155,170,4,True,,International,23-10-2015,1445572800,8.10/10 NIT Goa,,
57,57,Johns Hopkins University (JHU),CS,MS,S16,Accepted,E-mail,20-10-2015,1445313600,3.5,166,163,4,True,,International,21-10-2015,1445400000,"Well, This was unexpected to be honest :)",22,2.4
58,58,"University Of Illinois, Chicago (UIC)",CS,MS,F15,Accepted,E-mail,4-Oct-15,1428638400,3.7,152,162,4.5,True,,International,21-10-2015,1445400000,"From NED University, Pakistan. 3 years of industry experience and two research projects on GPU computing.",33,2.8
60,60,"University Of Illinois, Chicago (UIC)",CS,MS,S16,Rejected,Website,10-Oct-15,1444449600,3.46,149,165,3.5,True,,International,20-10-2015,1445313600,Unexpected result. Not sure if anyone got admits for MS CS from UIC.,33,2.8
61,61,"University Of Texas, Dallas (UT Dallas)",CS,MS,S16,Accepted,E-mail,17-09-2015,1442462400,3.46,149,165,3.5,True,,International,20-10-2015,1445313600,NO funding,34,2.3
62,62,Arizona State University (ASU),CS,MS,S16,Accepted,Website,25-09-2015,1443153600,3.46,,,,,,International,20-10-2015,1445313600,I got 2 pre-requisites,26,2.3
63,63,Johns Hopkins University (JHU),CS,MS,S16,Accepted,E-mail,20-10-2015,1445313600,,156,163,4,True,,International,20-10-2015,1445313600,,22,2.4
64,64,University Of Southern California (USC),CS,MS,S16,Accepted,Website,10-Oct-15,1444449600,3.6,149,159,3,True,,International,18-10-2015,1445140800,"2 Publications, 2 International Internships2 years of Entrepreneurial background + Work experience",50,5.7
65,65,"Texas A&M University, College Station (TAMU)",ECE,MS,S16,Accepted,E-mail,15-10-2015,1444881600,,,,,,,International,16-10-2015,1444968000,2nd Admit,38,3.1
66,66,University Of Southern California (USC),ECE,MS,S16,Accepted,E-mail,16-10-2015,1444968000,3.9,156,167,3.5,True,,International,16-10-2015,1444968000,Dream Admit. So excited!!,50,5.7
70,70,University Of Southern California (USC),CS,MS,S16,Accepted,E-mail,10-Oct-15,1444449600,4,142,158,3,True,,International,11/10/15,1444536000,The Most awaited result finally...!!! I am so happy for USC admit !!! MS in Computer Science ....USC here I come,50,5.7
73,73,"University Of Texas, Dallas (UT Dallas)",ECE,MS,S16,Accepted,E-mail,23-10-2015,1445572800,4,147,163,2.5,True,,Other,10/10/15,1444449600,,34,2.3
78,78,"University Of Texas, Arlington",CS,MS,F16,Accepted,Website,10-May-15,1444017600,4,157,169,4.5,True,,International,5/10/15,1444017600,Expected this! No news on financial aid though,15,1.8
79,79,Arizona State University (ASU),CS,MS,S16,Accepted,E-mail,10-Mar-15,1443844800,3.5,163,150,3.5,True,,Other,4/10/15,1443931200,Have been accepted for MCS,26,2.3
80,80,"University Of Texas, Dallas (UT Dallas)",CS,MS,S16,Rejected,Website,10-Feb-15,1443758400,,,,,,,International with US Degree,2/10/15,1443758400,I'm the one who reported reject but I didn't receive the letter require me to retake GRE. I have a quite high GRE score but my undergraduate is not major in CS. But I have 2+years CS working experience. don't understand what they are looking for. And i waited about 2 weeks for this decision.,34,2.3
84,84,"University Of Illinois, Urbana-Champaign (UIUC)",ECE,MS,S16,Accepted,E-mail,28-09-2015,1443412800,3.68,165,170,4.5,True,,International with US Degree,30-09-2015,1443585600,Undergrad at UIUC . No offers of aid yet.,83,9.9
86,86,"University Of Texas, Dallas (UT Dallas)",CS,MS,S16,Rejected,Phone,17-09-2015,1442462400,,,,,,,International with US Degree,30-09-2015,1443585600,,34,2.3
89,89,Arizona State University (ASU),Other,MS,S16,Accepted,E-mail,18-09-2015,1442548800,3.2,146,161,3,True,,International,28-09-2015,1443412800,,26,2.3
90,90,"University Of Texas, Dallas (UT Dallas)",CS,MS,S16,Rejected,Website,28-09-2015,1443412800,,,,,,,International,28-09-2015,1443412800,Checked the Galaxy portal today,34,2.3
91,91,"University Of Texas, Dallas (UT Dallas)",ECE,MS,S16,Accepted,E-mail,22-09-2015,1442894400,,152,166,3,True,,International,22-09-2015,1442894400,Told to contact Prof.'s for funding...Undergrad India GPA 8.7/10.00,34,2.3
96,96,"University Of California, Irvine (UCI)",Other,PhD,F15,Accepted,E-mail,19-02-2015,1424322000,,,,,,,American,11/9/15,1441944000,,55,4.3
98,98,"University Of Illinois, Urbana-Champaign (UIUC)",CS,MS,F15,Rejected,Website,27-01-2015,1422334800,3.2,152,155,2.5,True,,International,27-08-2015,1440648000,,83,9.9
104,104,Michigan State University (MSU),CS,PhD,F15,Accepted,E-mail,3-Mar-15,1425358800,3.71,143,160,3.5,True,,International with US Degree,10/8/15,1439179200,I had a paper on IEEE Transactions on Cybernetics during my MS in Mississippi State University. My MS cgpa was 3.72,19,1.9
105,105,"University Of Illinois, Chicago (UIC)",ECE,MS,F15,Accepted,E-mail,6-Oct-15,1433908800,,,,,,,American,10/8/15,1439179200,,33,2.8
109,109,Georgia Institute Of Technology (GTech),CS,MS,F15,Accepted,E-mail,5-Jun-15,1430884800,,,,,,,American,6/8/15,1438833600,,73,6.7
111,111,Harvard University,CS,PhD,F16,Accepted,E-mail,8-Apr-15,1438660800,3.6,160,170,4,True,,International,4/8/15,1438660800,,29,4.2
114,114,"University Of California, Los Angeles (UCLA)",CS,MS,F15,Accepted,Phone,29-06-2015,1435550400,3.1,153,156,3.5,True,,International,29-07-2015,1438142400,Yay!!,37,5
116,116,"University Of Illinois, Urbana-Champaign (UIUC)",CS,MS,F15,Rejected,Website,24-05-2015,1432440000,3.96,155,163,5,True,,International,24-07-2015,1437710400,"5 international papers, 6 months research internship!!I dont know what went wrong",83,9.9
117,117,Yale University,CS,MS,F16,Accepted,E-mail,21-07-2015,1437451200,3.6,155,165,3.5,True,,International,21-07-2015,1437451200,,26,2.5
123,123,"University Of Texas, San Antonio (UTSA)",CS,PhD,F15,Rejected,E-mail,30-05-2015,1432958400,3.58,143,164,3,True,,International,1/7/15,1435723200,,11,1.4
124,124,"University Of California, Davis (UCD)",ECE,PhD,F15,Rejected,E-mail,27-06-2015,1435377600,,,,,,,International,28-06-2015,1435464000,At last......Now I can die in peace,28,2.9
125,125,"Texas A&M University, College Station (TAMU)",CS,PhD,F15,Rejected,Website,24-06-2015,1435118400,3.68,153,162,4,True,,International,28-06-2015,1435464000,Took them a long time to post the status online. Got accepted elsewhere anyway.,38,3.1
127,127,University Of Connecticut,ECE,PhD,F15,Rejected,E-mail,26-06-2015,1435291200,,151,163,3,True,,,27-06-2015,1435377600,,9,1.5
129,129,"University Of California, Riverside (UCR)",CS,PhD,F15,Rejected,E-mail,22-05-2015,1432267200,,155,165,3.5,True,,American,26-06-2015,1435291200,I can't believe they waited to reject me until the end of May!!,36,2.8
130,130,Georgia Institute Of Technology (GTech),CS,MS,F15,Accepted,E-mail,13-06-2015,1434168000,3.3,160,170,3,True,,International,23-06-2015,1435032000,Canadian Master/Bachelor degree from McGill.,73,6.7
132,132,Carnegie Mellon University (CMU),ECE,PhD,F15,Rejected,E-mail,20-06-2015,1434772800,,,,,,,International,20-06-2015,1434772800,"No problem, anyways CMU sucks for communications/signal processing. Got a much better admit.",152,18.1
133,133,Carnegie Mellon University (CMU),ECE,MS,F15,Rejected,E-mail,19-06-2015,1434686400,,,,,,,International,19-06-2015,1434686400,,152,18.1
141,141,Boston University (BU),CS,MS,F15,Accepted,E-mail,6-May-15,1433476800,,,,,,,International,5/6/15,1433476800,Very Costly! But would go!,22,2.5
142,142,Carnegie Mellon University (CMU),ECE,MS,F15,Accepted,E-mail,6-Feb-15,1433217600,3.3,152,162,4,True,,International,5/6/15,1433476800,I am the poster below. I didnt ask them to consider for Spring 2016.  I had applied for M.S. in ECE at PA campus and M.S. at SV campus were my other 2 options. I got admit for M.S. in ECE at SV campus. I was not in touch with the department all this while.,152,18.1
143,143,University Of Southern California (USC),CS,MS,F15,Rejected,E-mail,6-Apr-15,1433390400,,,,,,,International,4/6/15,1433390400,Game dev reject. ;_;,50,5.7
148,148,"University Of California, Davis (UCD)",CS,PhD,F15,Rejected,Website,13-05-2015,1431489600,3.85,156,168,4,True,,American,2/6/15,1433217600,"""No additional space in the graduate program for this admissions cycle.""",28,2.9
154,154,"Texas A&M University, College Station (TAMU)",CS,MS,F15,Rejected,Postal Service,30-05-2015,1432958400,3.15,157,165,4.5,True,,International,1/6/15,1433131200,,38,3.1
155,155,"University Of Wisconsin, Madison",CS,MS,F15,Accepted,E-mail,29-05-2015,1432872000,,,,,,,International,29-05-2015,1432872000,Accepted :D,48,5.9
157,157,Virginia Tech,CS,PhD,F15,Rejected,Website,29-05-2015,1432872000,,,,,,,International,29-05-2015,1432872000,No information. Randomly checked website rejection letter was there.,39,2.4
158,158,University Of Southern California (USC),CS,MS,F15,Accepted,Website,28-05-2015,1432785600,,,,,,,,29-05-2015,1432872000,"Ok, wasn't expecting a yes, now.",50,5.7
170,170,University Of Southern California (USC),CS,MS,F15,Rejected,Other,24-05-2015,1432440000,,,,,,,International,25-05-2015,1432526400,Got an email to check on website.,50,5.7
175,175,"University Of California, Berkeley (UCB)",CS,MS,F15,Rejected,E-mail,19-02-2015,1424322000,,,,,,,American,23-05-2015,1432353600,Email directed me to website to read a bland and generic rejection letter. Couldn't even just send me the letter lol...,83,11.1
176,176,University Of Southern California (USC),CS,MS,F15,Accepted,E-mail,23-05-2015,1432353600,,,,,,,American,23-05-2015,1432353600,"Have already accepted admission to my first choice, UCSD. So hard to turn USC down as they have a really good robotics program there :(",50,5.7
177,177,"University Of California, San Diego (UCSD)",CS,MS,F15,Accepted,E-mail,15-04-2015,1429070400,,,,,,,American,23-05-2015,1432353600,Received unofficial notice from chair of graduate admissions 5 days prior.,53,6.9
178,178,Boston University (BU),CS,MS,F15,Accepted,E-mail,15-05-2015,1431662400,,164,163,4,True,,International,23-05-2015,1432353600,,22,2.5
180,180,University Of Southern California (USC),CS,MS,F15,Accepted,Website,22-05-2015,1432267200,,,,,,,International,22-05-2015,1432267200,"Worst and most unprofessional admissions process ever. Now they tell me that they will give me admission to another program and that too only after I send my financial docs, after the longest delay. Request future students to not waste time applying to this school!",50,5.7
181,181,University Of Southern California (USC),CS,MS,F15,Accepted,E-mail,21-05-2015,1432180800,3.1,166,161,,True,,International,22-05-2015,1432267200,Admitted to MS for Scientists & Engineers program and rejected to the regular MS program; non-CS b/g; Bachelors & Masters in Aerospace Engg.; 5+ yrs work ex. in Aerospace Industry,50,5.7
182,182,Nothwestern University,CS,MS,F15,Rejected,E-mail,22-05-2015,1432267200,,,,,,,International,22-05-2015,1432267200,end of application season,37,3.4
183,183,Georgia Institute Of Technology (GTech),ECE,MS,F15,Accepted,E-mail,21-05-2015,1432180800,3.4,157,161,4.5,True,,American,21-05-2015,1432180800,Have been in the ELDP program of a major defense contractor for a year now. Accepted into the distance learning program.,73,6.7
185,185,"University Of Florida, Gainesville (UFL)",ECE,PhD,F15,Accepted,E-mail,20-05-2015,1432094400,,,,,,,International,21-05-2015,1432180800,,23,1.9
186,186,Boston University (BU),CS,MS,F15,Accepted,E-mail,14-05-2015,1431576000,3.3,161,166,4,True,,International,20-05-2015,1432094400,"From founding batch of a university in India, which is probably why the likes of CMU, GeorgiaTech, Cornell, Columbia, and UPenn rejected me.Only admit, applied late so no scholarship. Will most probably be attending.Anyone else joining or has information about student groups on FB, please message me : gautambhat1993@gmail.com",22,2.5
189,189,"University Of California, Riverside (UCR)",CS,MS,F15,Rejected,E-mail,18-05-2015,1431921600,3,140,161,2,True,,International,20-05-2015,1432094400,,36,2.8
193,193,University Of Southern California (USC),CS,PhD,F15,Rejected,E-mail,19-05-2015,1432008000,3.44,159,156,3,True,,American,19-05-2015,1432008000,Had good recs,50,5.7
195,195,Purdue University,ECE,MS,F15,Rejected,E-mail,19-05-2015,1432008000,,,,,,,International,19-05-2015,1432008000,"After the long wait, a crushing blow",53,4.8
196,196,University Of Southern California (USC),ECE,MS,F15,Rejected,Website,16-05-2015,1431748800,3.5,157,168,4.5,True,,International,18-05-2015,1431921600,"Oh well...Thanks for the wait, NOT!!",50,5.7
197,197,"University Of Texas, Austin (UT Austin)",ECE,PhD,F15,Accepted,Website,18-05-2015,1431921600,,,,,,,International with US Degree,18-05-2015,1431921600,"I just got the admission after such a long time as like following posts.rnBTW, are we accepted as PhD student?rnI couldn't find any Degree level in my letter.",42,5.4
198,198,"University Of California, Davis (UCD)",CS,MS,F15,Rejected,E-mail,17-05-2015,1431835200,3.94,144,168,3,True,,International with US Degree,18-05-2015,1431921600,No additional space available in the graduate program for this admissions cycle.,28,2.9
199,199,Georgia Institute Of Technology (GTech),CS,PhD,F15,Rejected,Website,15-05-2015,1431662400,3.97,162,165,4,True,,American,15-05-2015,1431662400,"I didn't think I was going to hear back from GT. Oh well, I accepted an offer from another school a month ago anyway.",73,6.7
200,200,"University Of Minnesota, Twin Cities (UMN)",CS,MS,F15,Wait listed,Website,15-05-2015,1431662400,,,,,,,International with US Degree,15-05-2015,1431662400,Please reject if you don't plan to go!!! This is the only graduate program I applied. Thank you!!,37,3.1
201,201,University Of Chicago (UChicago),CS,MS,F15,Accepted,E-mail,5-Nov-15,1431316800,,,,,,,American,15-05-2015,1431662400,,23,2.7
202,202,Pennsylvania State University (Penn State),CS,MS,F15,Rejected,E-mail,15-05-2015,1431662400,,,,,,,,15-05-2015,1431662400,Asked me to check out programs at harrisburg... No thanks:P,33,3.4
204,204,Boston University (BU),CS,MS,F15,Accepted,E-mail,26-03-2015,1427342400,,,,,,,International,15-05-2015,1431662400,I could not find any groups in FB for BU. If anyone could post about some group it will be helpful.,22,2.5
207,207,New York University (NYU),CS,PhD,F15,Rejected,E-mail,14-05-2015,1431576000,,,,,,,International,14-05-2015,1431576000,,46,4.3
208,208,University Of Kansas,CS,PhD,F15,Rejected,E-mail,13-05-2015,1431489600,,,,,,,International,14-05-2015,1431576000,,11,1.2
209,209,Drexel University,ECE,PhD,F15,Accepted,E-mail,13-05-2015,1431489600,,,,,,,International,14-05-2015,1431576000,Still no news on funding. Does anyone know how to know whether I have funding or not?,12,1.5
210,210,Boston University (BU),CS,MS,F15,Accepted,E-mail,21-04-2015,1429588800,,,,,,,International,14-05-2015,1431576000,,22,2.5
212,212,New York University (NYU),CS,PhD,F15,Rejected,E-mail,13-05-2015,1431489600,3.8,158,162,3.5,True,,International,14-05-2015,1431576000,"A decision, at last. GPA is for Masters.",46,4.3
214,214,"University Of California, Davis (UCD)",CS,PhD,F15,Rejected,E-mail,13-05-2015,1431489600,3.83,165,166,3,False,,International,14-05-2015,1431576000,Now only USC have not sent the result to me~ Why do they take so much time to do so? Can't understand at all.,28,2.9
215,215,"University Of California, Davis (UCD)",CS,MS,F15,Rejected,Website,13-05-2015,1431489600,,,,,,,International,13-05-2015,1431489600,I don't get it. I've been accepted into far better places.,28,2.9
218,218,Ohio State University (OSU),ECE,PhD,F15,Rejected,E-mail,13-05-2015,1431489600,,,,,,,International with US Degree,13-05-2015,1431489600,,35,3.4
219,219,"University Of California, Davis (UCD)",CS,PhD,F15,Rejected,Website,13-05-2015,1431489600,3.8,154,170,4.5,True,,Other,13-05-2015,1431489600,No more vacancy.,28,2.9
220,220,"University Of Texas, Austin (UT Austin)",ECE,PhD,F15,Accepted,E-mail,3-Jan-15,1425186000,,,,,,,International,13-05-2015,1431489600,"@posters below: I think if you still haven't received any decision, consider it as a reject. I got an accept but no funding (ComNetS track). I'm going to another school. Anyone who got admits in March (ComNetS) got funding later?",42,5.4
222,222,University Of Southern California (USC),ECE,MS,F15,Accepted,E-mail,5-Dec-15,1431403200,,,,,,,International,13-05-2015,1431489600,Accepted for spring 2016,50,5.7
224,224,"University Of Minnesota, Twin Cities (UMN)",CS,MS,F15,Wait listed,Website,13-05-2015,1431489600,,,,,,,International with US Degree,13-05-2015,1431489600,,37,3.1
225,225,New York University (NYU),CS,PhD,F15,Rejected,E-mail,13-05-2015,1431489600,3.26,157,169,3,True,,International,13-05-2015,1431489600,"3 publications. 2 years of research experience. My application was a bit confusing: my experience is in one area, and my intended area is another one. However, I was expecting a different response. Anyway, I was accepted in a top 15 university. Recommendation to other PhD applicants for the next year: apply where you have connections. If there is faculty that knows you or your recommenders, is the key. At least in my experience. Hope this is useful to someone.",46,4.3
226,226,"University Of Minnesota, Twin Cities (UMN)",CS,MS,F15,Rejected,Website,5-Dec-15,1431403200,,,,,,,International with US Degree,12/5/15,1431403200,,37,3.1
230,230,University Of Southern California (USC),CS,MS,F15,Rejected,Website,5-Dec-15,1431403200,,,,,,,International with US Degree,12/5/15,1431403200,,50,5.7
231,231,University Of Southern California (USC),CS,MS,F15,Rejected,Website,5-Dec-15,1431403200,3.8,155,170,4.5,True,,,12/5/15,1431403200,,50,5.7
233,233,University Of Southern California (USC),CS,MS,F15,Accepted,E-mail,5-Dec-15,1431403200,3.7,151,168,3.5,True,,International,12/5/15,1431403200,"Applied for Fall 2015 instead they offered me Spring 2016 admit. I am going to reject it I have better admits. The decision is too late, pathetic university never apply here.",50,5.7
235,235,University Of Southern California (USC),CS,MS,F15,Accepted,E-mail,5-Dec-15,1431403200,,,,,,,International,12/5/15,1431403200,"Applied for Fall 2015, offered for Spring 2016 via email, no portal update. Just too late. Pathetic, not accepting this. Never apply here.",50,5.7
236,236,University Of Southern California (USC),CS,MS,F15,Rejected,E-mail,5-Nov-15,1431316800,,154,159,3,True,,International,11/5/15,1431316800,I have received a admit for spring 2016..should i go for it?they said they will reconsider for fall 2015n handout result till june 2015 is it worth to wait..go for next year fall semester..?any suggestion,50,5.7
237,237,Cornell Tech,CS,MS,F15,Rejected,E-mail,5-Nov-15,1431316800,,,,,,,American,11/5/15,1431316800,,68,8.7
238,238,"University Of Minnesota, Twin Cities (UMN)",CS,MS,F15,Accepted,E-mail,28-04-2015,1430193600,3.2,170,165,4,True,,American,11/5/15,1431316800,Deadline to accept/reject the offer is 15-May. Already accepted.,37,3.1
242,242,"University Of Minnesota, Twin Cities (UMN)",CS,MS,F15,Wait listed,Website,5-Sep-15,1431144000,,160,170,4,True,,International,9/5/15,1431144000,What is the deadline for admitted folks to accept/reject the offer? Could someone please share.,37,3.1
243,243,University Of Southern California (USC),CS,MS,F15,Rejected,E-mail,5-Aug-15,1431057600,,165,164,5,True,,International,8/5/15,1431057600,"Ninth (and last) reject of the season! I'm impressed - last time, it took USC 2 months longer to tell me the same thing.",50,5.7
244,244,New York University (NYU),CS,MS,F15,Rejected,E-mail,30-04-2015,1430366400,,,,,,,American,8/5/15,1431057600,"Engineering Technology background, 4.0 GPA, average GRE scores. Dream school.",46,4.3
246,246,"University Of California, Davis (UCD)",CS,MS,F15,Accepted,E-mail,5-Aug-15,1431057600,3.3,161,158,4.5,True,,American,8/5/15,1431057600,Undergrad in animation from respected art school; took CS classes for 1.5 years after graduating and so had a 3.8 CSGPA. Will be attending UCLA.,28,2.9
248,248,University Of Southern California (USC),CS,MS,F15,Accepted,E-mail,5-Aug-15,1431057600,3.15,156,158,4,True,,American,8/5/15,1431057600,"To the poster below, I don't have any relevant industry experience, research or publications. I do have some personal projects though.",50,5.7
250,250,University Of Southern California (USC),CS,MS,F15,Accepted,E-mail,5-Aug-15,1431057600,3.15,156,158,4,True,,American,8/5/15,1431057600,"Was my first choice but they took forever to respond, I already accepted an offer from NYU... Also, does USC offer teaching assistantships to masters students?",50,5.7
251,251,Drexel University,ECE,PhD,F15,Accepted,E-mail,5-Feb-15,1430539200,3.71,156,168,3.5,True,,International,8/5/15,1431057600,No funding offer yet. Grad advisor and other professors are not responding.,12,1.5
252,252,"University Of Maryland, Baltimore County (UMBC)",CS,MS,F15,Accepted,E-mail,5-May-15,1430798400,3.6,159,164,3.5,True,,International,8/5/15,1431057600,,15,1.5
253,253,University Of Southern California (USC),CS,PhD,F15,Rejected,Website,5-Aug-15,1431057600,3.91,152,166,4,True,,International,8/5/15,1431057600,A non-cs undergrad. Had applied for robotics. Checked USConnect and found the decision there. No email from the department (how nice of them after FIVE months!!). Date of the letter was for May 6.,50,5.7
254,254,"University Of Minnesota, Twin Cities (UMN)",CS,MS,F15,Rejected,Website,5-Aug-15,1431057600,3.97,150,168,4.5,True,,International,8/5/15,1431057600,Non cs undergrad .. little unexpected !,37,3.1
256,256,Rutgers University,CS,MS,F15,Rejected,Website,5-Aug-15,1431057600,,,,,,,International,8/5/15,1431057600,"app reviewed and denied admission, atleast they can write a little bit more or send me an email :(already have stony brook, so its alright.",43,3.6
258,258,Rutgers University,CS,PhD,F15,Rejected,E-mail,5-Aug-15,1431057600,3.55,160,167,3.5,True,,International,8/5/15,1431057600,No emails. Checked portal.,43,3.6
262,262,University Of Southern California (USC),CS,MS,F15,Accepted,Website,5-Jul-15,1430971200,,,,,,,International,7/5/15,1430971200,Finally! Had to wait a long time for this admit. Got a mail to check the online portal.,50,5.7
263,263,George Mason University (GMU),CS,MS,F15,Accepted,E-mail,16-03-2015,1426478400,3.3,143,160,3,True,,International,7/5/15,1430971200,,28,2
